gene_id,gene_name,NCBI_Entrez_id,ICGC_0492,ICGC_0491,ICGC_0459,ICGC_0443,ICGC_0498,ICGC_0500,ICGC_0497,ICGC_0501,ICGC_0452,ICGC_0447,ICGC_0441,ICGC_0440,ICGC_0437,ICGC_0438,ICGC_0435,ICGC_0436,ICGC_0434,ICGC_0432,ICGC_0428,ICGC_0425,ICGC_0427
ENSG00000201061,NA,NA,2,2,28,2,1,3,1,3,0,5,0,5,11,3,5,12,2,6,2,2,4
ENSG00000201066,RN7SKP280,NA,2,1,0,0,0,0,2,1,0,1,0,3,3,1,2,3,0,1,1,1,0
ENSG00000201070,RNU4-84P,NA,0,0,1,0,0,0,0,1,0,0,0,2,0,4,9,3,0,5,0,3,0
ENSG00000201078,RN7SKP214,NA,0,0,10,0,1,0,1,0,1,0,1,6,1,1,9,14,0,5,1,0,4
ENSG00000201098,RNY1,6084,0,0,3,1,0,12,2,0,2,4,0,4,7,6,5,9,2,6,5,5,4
ENSG00000201129,SNORA58,NA,0,0,2,0,0,0,0,0,0,6,0,0,56,3,4,0,14,5,0,4,1
ENSG00000201140,RN7SKP128,NA,0,0,0,0,0,0,1,0,0,0,0,2,0,2,1,1,0,1,1,0,0
ENSG00000201155,RNU1-24P,NA,1,0,0,1,0,3,0,1,1,1,1,0,17,0,0,2,4,0,0,9,0
ENSG00000201161,RN7SKP10,NA,0,0,122,0,1,2,0,2,1,4,6,7,4,11,8,13,5,7,5,2,5
ENSG00000201170,RNU1-132P,NA,1,1,2,0,0,2,1,1,3,7,0,2,20,9,5,7,6,5,2,6,4
ENSG00000201176,RNU6-853P,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000201183,RNVU1-12,101954274;101954272,1,0,146,0,0,0,0,0,1,0,0,2,3,2,4,3,4,0,1,4,0
ENSG00000201184,RNU4-68P,NA,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0
ENSG00000201201,RN7SKP118,NA,166,55,98,41,133,192,174,145,23,160,258,203,55,163,138,318,120,87,100,139,239
